2026/03/17 11:00:50 no config path specified; using /var/lib/derper/derper.key
2026/03/17 11:00:50 STUN server listening on [::]:3478
2026/03/17 11:00:50 No mesh key configured
2026/03/17 11:00:50 derper: serving on :3340 with TLS
2026/03/17 11:00:54 http: TLS handshake error from 10.50.0.2:57520: unexpected EOF
gc 116 @4.323s 0%: 0.088+0.55+0.11 ms clock, 1.0+0.74/0.85/0+1.3 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 117 @4.325s 0%: 0.11+1.1+0.073 ms clock, 1.3+0.71/0.87/0+0.88 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 118 @4.328s 0%: 0.094+0.49+0.098 ms clock, 1.1+0.96/0.84/0+1.1 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 119 @4.330s 0%: 0.093+0.98+0.063 ms clock, 1.1+0.92/0.82/0+0.75 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 120 @4.333s 0%: 0.17+0.82+0.093 ms clock, 2.1+0.84/0.85/0+1.1 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 121 @4.335s 0%: 0.11+0.76+0.11 ms clock, 1.3+0.84/0.75/0+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 122 @4.337s 0%: 0.094+0.55+0.074 ms clock, 1.1+0.76/0.95/0+0.89 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 123 @4.339s 0%: 0.099+0.76+0.10 ms clock, 1.1+1.1/0.82/0+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 124 @4.342s 0%: 0.13+0.65+0.075 ms clock, 1.6+0.68/0.99/0+0.90 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 125 @4.344s 0%: 0.10+0.97+0.082 ms clock, 1.3+0.67/0.93/0+0.99 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 126 @4.346s 0%: 0.13+0.59+0.090 ms clock, 1.6+0.72/0.86/0+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 127 @4.348s 0%: 0.15+0.72+0.11 ms clock, 1.8+0.83/0.83/0+1.4 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 128 @4.350s 0%: 0.15+1.1+0.090 ms clock, 1.8+0.70/0.82/0+1.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 129 @4.354s 0%: 0.089+0.78+0.069 ms clock, 1.0+0.76/0.92/0+0.83 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 130 @4.356s 0%: 0.10+0.92+0.082 ms clock, 1.2+0.98/1.0/0+0.99 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 131 @4.359s 0%: 0.095+0.87+0.10 ms clock, 1.1+0.73/0.80/0+1.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 132 @4.361s 0%: 0.095+0.60+0.11 ms clock, 1.1+0.76/0.85/0+1.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 133 @4.363s 0%: 0.051+0.78+0.071 ms clock, 0.61+0.70/0.85/0.002+0.85 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 134 @4.365s 0%: 0.79+1.4+0.037 ms clock, 9.5+1.2/1.0/0+0.45 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
