2026/03/14 08:05:21 Running in dev mode.
2026/03/14 08:05:21 STUN server listening on [::]:3478
2026/03/14 08:05:21 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 08:05:21 No mesh key configured for --dev mode
2026/03/14 08:05:21 derper: serving on :3340
gc 122 @36.067s 0%: 0.13+1.0+0.003 ms clock, 0.27+0.51/0.47/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 123 @36.084s 0%: 0.012+0.63+0.003 ms clock, 0.025+0.030/0.31/0.68+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 124 @36.101s 0%: 0.025+0.84+0.003 ms clock, 0.050+0.64/0.52/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 125 @36.118s 0%: 0.022+0.66+0.010 ms clock, 0.044+0.63/0.34/0+0.021 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 126 @36.136s 0%: 0.022+0.67+0.019 ms clock, 0.045+0.65/0.42/0+0.038 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 127 @36.154s 0%: 0.019+0.73+0.003 ms clock, 0.039+0.57/0.50/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 128 @36.171s 0%: 0.039+0.83+0.011 ms clock, 0.078+0.41/0.48/0+0.023 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 129 @36.189s 0%: 0.10+0.75+0.024 ms clock, 0.21+0.51/0.49/0+0.048 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 130 @36.207s 0%: 0.96+0.60+0.013 ms clock, 1.9+0.50/0.52/0+0.027 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 131 @36.225s 0%: 0.025+0.64+0.003 ms clock, 0.050+0.60/0.39/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 132 @36.244s 0%: 0.013+0.78+0.002 ms clock, 0.027+0.63/0.45/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 133 @36.262s 0%: 0.052+0.73+0.002 ms clock, 0.10+0.72/0.37/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 134 @36.281s 0%: 0.031+0.74+0.003 ms clock, 0.062+0.63/0.49/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 135 @36.299s 0%: 0.014+1.0+0.009 ms clock, 0.028+0.61/0.51/0+0.018 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
